CODEINSEE0;CODEINTERNE1;Observation2;Année3;"MontantTitre"4;"MontantconventionAnnéeN"5;"MontantAnnexe2"6;type7;"dated'envoicollectivitépoursignature"8;dateretour9;datesignaturedelaconvention10;"dated'envoicollectivitésigné"11;"RévisionEnvoi"12;RévisionRetour13;EnvoiRPQS14;RetourRPQS15;"MandatRPQS"16;nødetitre17;"dateémissiontitre"18;"EnvoiAnnexe2marché"19;"RetourAnnexe2signee"20;"MandatSPAC"21;DateArrˆtéDUP22
55062;A17;;2014;341.75;0;341.75;17;;;;;;;;;0;1492;26/04/14;;;0;;;
55062;A18;;2015;275;275;0;19;25/11/14;05/12/14;11/12/14;12/12/14;;;;;0;1610;29/04/15;;;1;;;
55062;A18;;2016;625.93;275;350.93;19;;;;;16/11/15;03/12/15;04/03/16;02/05/16;0;681;08/03/16;20/11/15;03/12/15;1;;;
55062;A18;pasdeservice;2017;0;275;0;19;;;;;25/10/16;14/11/16;;;0;;;;;0;;;
55079;A19;;2009;393.75;393.75;0;17;24/07/09;31/07/09;17/08/09;20/08/09;;;;;0;4149;24/11/09;15/02/10;24/02/10;0;;;
55079;A19;;2010;716.97;393.75;323.22;17;;;;;;;;;0;1804;26/05/10;;;0;;;
55079;A19;;2011;721.17;393.75;327.42;17;;;;;;;;;0;2582;11/07/11;28/12/10;10/01/11;0;;;
55079;A20;;2012;717.12;393.75;323.37;17;16/11/11;25/11/11;12/12/11;12/12/11;;;;;0;1972;05/06/12;30/12/11;09/01/12;0;;;
55079;A20;;2013;551.8;420;131.8;17;;;;;14/01/13;;11/01/13;21/01/13;1;2641;14/05/13;15/04/13;23/04/13;0;;;
55079;A20;;2014;556.7;420;136.7;17;;;;;;;22/01/14;;0;693;21/03/14;14/01/14;04/03/14;0;;;
55079;A21;;2015;632.28;495;137.28;19;25/11/14;15/12/14;22/12/14;24/12/14;;;04/03/16;10/05/16;1;1632;29/04/15;22/12/14;12/01/15;1;;;
55079;A21;;2016;635.37;495;140.37;19;;;;;16/11/15;23/11/15;24/02/17;05/05/17;1;650;08/03/16;16/11/15;23/11/15;1;;;
55079;A21;;2017;0;495;143.05;19;;;;;25/10/16;09/11/16;;;1;;;30/01/17;07/02/17;0;;;
55079;A22;;2013;464.9;464.9;0;21;17/09/13;25/09/13;01/10/13;03/10/13;;;;;0;672;08/03/16;;;0;;;
55104;A23;MOE-ANC;2012;250;250;0;21;13/06/12;19/06/12;25/06/12;27/06/12;;;;;0;3932;02/10/12;;;0;;;
55117;A24;;2009;825;825;0;17;26/06/09;23/07/09;17/08/09;20/08/09;;;;;0;4159;24/11/09;;;0;;;
55117;A24;;2010;1471.45;825;646.45;17;;;;;;;;;0;1807;26/05/10;15/02/10;26/02/10;0;;;
55117;A24;;2011;1479.85;825;654.85;17;;;;;;;;;0;2591;11/07/11;28/12/10;07/04/11;0;;;
55117;A25;;2012;1471.75;825;646.75;17;16/11/11;26/12/11;29/12/11;29/12/11;;;;;0;1981;05/06/12;21/02/12;27/02/12;0;;;
55117;A25;;2013;1143.61;880;263.61;17;;;;;14/01/13;;11/01/13;14/03/13;1;2643;14/05/13;15/04/13;23/04/13;0;;;
55117;A25;;2014;1153.4;880;273.4;17;;;;;03/12/13;19/12/13;22/01/14;;0;694;21/03/14;14/01/14;23/01/14;0;;;
