0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
SAINT MIHIEL;84;55463;SAINT MIHIEL-RESEAU SOURCES;;0;;55000;87;;2310;55000993;;;;;;;;;;;;;;;;;;;;98;100;;15;0;0;;100;7.8;0;7.48;23;22;22.46;25.7;22.8;23.953;0.2;0;0.03;6.9;1.4;3.127;0;0;;;
SAINT REMY LA CALONNE;83;55465;LA COTE AMARANTHE;01627X0006;85;;55000;89;05/10/2007;0;;SAINT REMY LA CALONNE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;115
SAINT REMY LA CALONNE;84;55465;SAINT REMY LA CALONNE;;0;;55000;87;;81;55000830;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.6;0;7.47;21.9;21.1;21.5;25.3;24.7;25;0.3;0.1;0.23;21.6;14.8;18.4;0;0;;;
SAMOGNEUX;83;55468;SOURCE LES ROISES;01354X0093;85;;55000;87;;0;;SAMOGNEUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
SAMPIGNY;83;55467;LA TUILERIE N°2;01925X0011;85;KOEUR-LA-PETITE;55264;87;;0;;SAMPIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SAMPIGNY;83;55467;LA CORVEE;01925X0012;85;COURCELLES-EN-BARROIS;55127;87;;0;;SAMPIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SAMPIGNY;83;55467;LA TUILERIE N°1;01925X0038;85;KOEUR-LA-PETITE;55264;87;;0;;SAMPIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SAMPIGNY;83;55467;PUITS ALLUVIAL DE SAMPIGNY;01926X0013;86;SAMPIGNY;55467;89;11/02/2015;0;;SAMPIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;770
SAMPIGNY;84;55467;SAMPIGNY;;0;;55000;87;;735;55000837;;;;;;;;;;;;;;;;;;;;99;100;;9;0;0;La protection du captage a été instaurée par arrˆté préfectoral de Déclaration d'Utilité Publique (DUP) du 11/02/2015;100;7.6;0;7.49;24.8;23.6;24.2;27;26.2;26.6;0;0;0;18.3;14.4;16.35;0.035;0;;;
SAULX LES CHAMPLON;83;55473;LACQUERON;01623X0006;85;EPARGES (LES);55171;89;29/05/2017;0;;SAULX LES CHAMPLON;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;134
SAULX LES CHAMPLON;84;55473;SAULX LES CHAMPLON;;0;;55000;87;;133;55000839;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;75;7.7;0;7.63;23.6;21.5;22.55;24.9;23.8;24.35;0.2;0.1;0.13;0.6;0;0.3;0;0;;;
SAUVIGNY;83;55474;LES PATIS;02668X0026;86;;55000;89;13/03/1986;0;;SAUVIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;287
SAUVIGNY;84;55474;SAUVIGNY;;0;;55000;87;;262;55000842;;34273;0;0;5;0.16;0;0;0;0.35;258.08;300;350;20956;63;6.94;11.84;1.67;2.02;99;100;;6;0;0;;100;7.5;0;7.43;26.2;26.1;26.167;29.7;28.7;29.2;0.2;0;0.07;17.5;15.9;16.867;0.008;0;;;
SENONCOURT LES MAUJOUY;83;55482;SOUS LA FERREE;01614X0072;86;SENONCOURT-LES-MAUJOUY;55482;87;;0;;SENONCOURT LES MAUJOUY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SENONCOURT LES MAUJOUY;84;55482;SENONCOURT LES MAUJOUY;;0;;55000;87;;102;55000845;;;;;;;;;;;;;;;;;;;;99;0;;8;0;0;;83.33333333;8.3;0;7.9;18.6;18.2;18.4;20.9;20.6;20.75;0.3;0;0.17;36.5;25.5;30.925;0.028;0;;;
SEPVIGNY;83;55485;ANCIEN MOULIN EN RUINE;02664X0015;86;SEPVIGNY;55485;87;;0;;SEPVIGNY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SEPVIGNY;84;55485;SEPVIGNY;;0;;55000;87;;81;55000847;;7743;0;0;1.02;0;0;0;0;0.359;0;1;0;7446;96;0.8;20;1;1.36;99;100;;9;1;0;;75;7.4;0;7.37;24;23;23.467;30.8;26.3;29.267;0.1;0;0.03;13.5;6.2;9.367;0.02;0;;;
SERMAIZE LES BAINS (51);83;55485;FORAGE LES BERNARSARTS;01907X0020;86;;55000;89;19/04/1988;0;55003529;REMENNECOURT;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;91;1;1;0
SEUZEY;83;55487;FOND DE SURVAUX;01626X0006;85;;55000;89;20/10/2014;0;;SEUZEY;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;107
SEUZEY;84;55487;SEUZEY;;0;;55000;87;;88;55000849;;;;;;;;;;;;;;;;;;;;99;0;;14;0;0;;100;7.7;0;7.63;19.2;17.8;18.5;21.2;19.7;20.45;0.2;0.1;0.13;15.3;6.7;10.987;0;0;;;
SIAEP BAUDIGNECOURT-DEMANGE;83;245501382;FORAGE DE BAUDIGNECOURT;02661X0027;86;;55000;89;20/02/2013;0;; BAUDIGNECOURT-DEMANGE AUX EAUX;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;633
SIAEP BAUDIGNECOURT-DEMANGE;84;245501382;SIAEP BAUDIGNECOURT-DEMANGE;;0;;55000;87;;622;55001016;;;;;;;;;;;;;;;;;;;;99;0;;9;0;0;;100;7.5;0;7.37;30;28.3;29.233;31.5;30.7;31.167;0.2;0;0.05;11.3;7.3;9.6;0.008;0;;;
SIAEP BRILLON-HAIRONVILLE-SAUDRUPT;83;255501355;PUITS ALLUVIAL P3 A SAUDRUPT;02271X0066;86;;55000;89;22/09/1989;0;;Brillon en Barrois, Haironville, Saudrupt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1499
SIAEP BRILLON-HAIRONVILLE-SAUDRUPT;83;255501355;PUITS ALLUVIAL P2 A SAUDRUPT;02271X0064;86;;55000;89;22/09/1989;0;;Brillon en Barrois, Haironville, Saudrupt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;
SIAEP BRILLON-HAIRONVILLE-SAUDRUPT;84;255501355;SIAEP BRILLON-HAIRONVILLE-SAUDRUPT;;0;;55000;87;;1413;55001026;;;;;;;;;;;;;;;;;;;;99;100;de déferrisation-démanganisation par filtration;10;0;0;;100;7.6;0;7.58;29.5;29.2;29.35;32.3;30.5;31.4;1.3;0;0.45;14.3;8.2;11.25;0.017;0;;;
SIAEP CHATILLON-BLANZEE;83;255501017;COUCHOT;01622X0058;85;;55000;89;26/06/2008;0;;Chatillon sous les cotes, Blanzee;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;212
SIAEP CHATILLON-BLANZEE;83;255501017;REU-CHAMPS;01622X0065;85;;55000;89;26/06/2008;0;;Chatillon sous les cotes, Blanzee;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP CHATILLON-BLANZEE;84;255501017;SIAEP CHATILLON-BLANZEE;;0;;55000;87;;184;55001032;;;;;;;;;;;;;;;;;;;;99;100;;8;1;0;;75;8.1;0;7.6;23.3;21.5;22.4;24.7;23.4;24.05;1.5;0.1;0.6;1.4;1.2;1.3;0;0;;;
SIAEP DE LA COTE BADARD;83;255501660;COTE BADARD;01344X1002;85;BAULNY;55033;87;;0;;Baulny, Charpentry;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DE LA COTE BADARD;84;255501660;SIAEP DE LA COTE BADARD;;0;;55000;87;;40;55001018;;;;;;;;;;;;;;;;;;;;99;100;par coagulation-filtration, charbon actif;7;1;0;;71.42857143;7.3;0;7.23;33.4;30.2;31.8;39.9;34.4;37.15;25.7;1.8;11.33;20.2;19.2;19.833;0;0;;;
SIAEP DE LA COTE ST GERMAIN;83;255501058;SOURCE DU CAVEAU;01117X0112;85;;55000;89;23/11/2007;0;;MILLY-SUR-BRADON;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;95;1;1;
SIAEP DE LA COTE ST GERMAIN;83;255501058;ORIENT;01117X0011;85;;55000;89;23/11/2007;0;;Lion devant Dun, Milly sur Bradon;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA COTE ST GERMAIN;83;255501058;DUCHOT;01117X0013;85;;55000;89;23/11/2007;0;;Lion devant Dun, Milly sur Bradon;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;381
SIAEP DE LA COTE ST GERMAIN;84;255501058;SIAEP DE LA COTE ST GERMAIN;;0;;55000;87;;346;55001035;;;;;;;;;;;;;;;;;;;;99;0;;5;0;0;;100;7.5;0;7.4;21.5;18.7;20.1;24.6;21.3;22.95;0.1;0;0.03;4.1;2.9;3.5;0;0;;;
SIAEP DE LA FORESTIERE;83;255500878;PUITS N°2 DU CHAMP CAPTANT;01358X0067;86;BRAS-SUR-MEUSE;55073;89;05/10/2015;0;;Bras sur Meuse, Charny sur Meuse, Marre, Vacherauville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1695
SIAEP DE LA FORESTIERE;83;255500878;PUITS N°3 DU CHAMP CAPTANT;01358X0068;86;BRAS-SUR-MEUSE;55073;89;05/10/2015;0;;Bras sur Meuse, Charny sur Meuse, Marre, Vacherauville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;
SIAEP DE LA FORESTIERE;84;255500878;SIAEP DE LA FORESTIERE;;0;;55000;87;;1555;55001042;;;;;;;;;;;;;;;;;;;;99;100;;11;0;0;;100;8;0;7.65;19.2;17.7;18.633;21.4;20.6;21.1;0.2;0;0.08;12.4;8.6;10.133;0;0;;;
SIAEP DE LA REGION DE BEAUCLAIR;83;255501207;NOUE CORNETTE;01112X0010;86;;55000;89;05/03/2014;0;;beauclair, Beaufort en Arg., Saulmary et villefranche, Wiseppe, Halles sous les côtes;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;683
SIAEP DE LA REGION DE BEAUCLAIR;84;255501207;SIAEP DE LA REGION DE BEAUCLAIR;;0;;55000;87;;611;55001020;;;;;;;;;;;;;;;;;;;;99;100;;11;0;0;;90;7.2;0;7.17;29.5;28.5;29.133;31.9;31.3;31.667;0;0;0;0;0;0;0.03;0;;;
SIAEP DE LA REGION DE MANGIENNES;83;245501473;FONDS DE VAUX;01361X0017;85;;55000;89;09/03/2012;0;;Billy sur Mangiennes, Chaumont devant Damvillers, Delut, Dombras, Duzey, Jametz, Loison, Mangiennes, Merles sur loison, Moirey -Flabas-Crepion, Muzeray, Nouillonpont, Peuvillers, Pillon, Reville aux bois, romagnes sous les cotes, rouvrois sur othain, saint laurent sur othain, Sorbey, Spincourt, Vaudoncourt, Villers les mangiennes, Vittarville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;4993
SIAEP DE LA REGION DE MANGIENNES;83;245501473;L'EURO;01361X0055;85;;55000;89;09/03/2012;0;;Billy sur Mangiennes, Chaumont devant Damvillers, Delut, Dombras, Duzey, Jametz, Loison, Mangiennes, Merles sur loison, Moirey -Flabas-Crepion, Muzeray, Nouillonpont, Peuvillers, Pillon, Reville aux bois, romagnes sous les cotes, rouvrois sur othain, saint laurent sur othain, Sorbey, Spincourt, Vaudoncourt, Villers les mangiennes, Vittarville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA REGION DE MANGIENNES;83;245501473;FORAGE DE ST LAURENT/OTHAIN;01126X0012;86;;55000;89;28/12/1999;0;;Billy sur Mangiennes, Chaumont devant Damvillers, Delut, Dombras, Duzey, Jametz, Loison, Mangiennes, Merles sur loison, Moirey -Flabas-Crepion, Muzeray, Nouillonpont, Peuvillers, Pillon, Reville aux bois, romagnes sous les cotes, rouvrois sur othain, saint laurent sur othain, Sorbey, Spincourt, Vaudoncourt, Villers les mangiennes, Vittarville;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA REGION DE MANGIENNES;84;245501473;MOIREY-FLABAS-CREPION;;0;;55000;87;;133;55001249;;454015;53954;0;175;0;5.5;0;0.064;0.395;0;6000;0;367920;74;2.1;5.85;1.65;2.22;99;100;;5;0;0;;100;7.7;0;7.63;23.9;23.1;23.5;29.4;26.6;28;0.2;0.1;0.13;25.5;19;22.067;0.124;0;;;
SIAEP DE LA REGION DE MANGIENNES;84;245501473;OLLIERES-RECHICOURT-HAUCOURT;;0;;55000;87;;173;55000172;;454015;53954;0;175;0;5.5;0;0.064;0.395;0;6000;0;367920;74;2.1;5.85;1.65;2.22;99;0;;22;0;0;;100;7.6;0;7.433;25.9;24.6;25.4;34.1;29.6;31.217;0.2;0.2;0.2;23.9;19.7;22.4;0.004;0;;;
SIAEP DE LA REGION DE MANGIENNES;84;245501473;RESEAU DU FORAGE DE ST LAURENT;;0;;55000;87;;3207;55001239;;454015;53954;0;175;0;5.5;0;0.064;0.395;0;6000;0;367920;74;2.1;5.85;1.65;2.22;99;100;;17;0;0;;100;7.7;0;7.58;28.3;27.9;28.2;37.9;34.1;35.9;0.2;0;0.07;9.6;3.7;7.25;0.026;0;;;
SIAEP DE LA REGION DE MANGIENNES;84;245501473;RESEAU SOURCE FONDS DE VAUX;;0;;55000;87;;1027;55001252;;454015;53954;0;175;0;5.5;0;0.064;0.395;0;6000;0;367920;74;2.1;5.85;1.65;2.22;99;100;;11;0;0;;100;7.7;0;7.59;19.1;17.6;18.533;21.7;20.2;21.1;0.2;0;0.06;7.3;2.4;5.533;0.016;0;;;
SIAEP DE LA REGION DE MANGIENNES;84;245501473;REVILLE AUX BOIS-PEUVILLERS;;0;;55000;87;;186;55001247;;454015;53954;0;175;0;5.5;0;0.064;0.395;0;6000;0;367920;74;2.1;5.85;1.65;2.22;99;0;;9;0;0;;100;7.9;0;7.8;18.9;17.7;18.3;21.2;19.6;20.4;0;0;0;10.2;5.4;8.167;0.026;0;;;
SIAEP DE LA REGION D'HERMEVILLE;84;255501041;SIAEP REGION D'HERMEVILLE;;0;;55000;87;;474;55001063;;;;;;;;;;;;;;;;;;;;99;100;;7;0;0;;100;7.9;0;7.9;19.4;18.4;19.075;22;20.3;21.075;0;0;0;3.4;3;3.2;0.011;0;1;;
SIAEP DE LA SOURCE GODION;83;245501499;FORAGE N°1;02287X0034;86;;55000;89;21/07/1997;0;;Naives en Blois, Ménil le grand?;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;288
SIAEP DE LA SOURCE GODION;83;245501499;FORAGE N°2;02287X0036;86;;55000;89;21/07/1997;0;;Naives en Blois, Ménil le grand?;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA SOURCE GODION;83;245501499;FORAGE N°3;02287X0057;86;;55000;89;21/07/1997;0;;Naives en Blois, Ménil le grand?;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA SOURCE GODION;83;245501499;FORAGE DE GRIMAUCOURT;01925X0001;86;GRIMAUCOURT-PRES-SAMPIGNY;55220;87;;0;; Grimaucourt près Sampigny, Marson sur Barboure, Meligny le petit, Ménil la Horgne, Nancois le grand, Reffroy, Saint Aubin sur Aire, Saulvaux, Sauvoy, Cousances les Triconville, Willeroncourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DE LA SOURCE GODION;84;245501499;RESEAU FGE DE GRIMAUCOURT;;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DE LA SOURCE GODION;84;245501499;SIAEP DE LA SOURCE GODION;;0;;55000;87;;1457;55001107;;;;;;;;;;;;;;;;;;;;99;0;;23;0;0;;100;8;0;7.64;25.8;24.8;25.3;28.3;25.6;26.95;0.6;0;0.1;14.4;11.2;12.8;0;0;;;
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;FORAGE NEUFOUR N°2;01604X1015;86;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;FORAGE NEUFOUR N°4;01604X1043;86;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;BEAUCHAMP N°5;01611X0129;85;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;BEAUCHAMP N°4;01611X0130;85;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;BEAUCHAMP N°3;01611X0131;85;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;BEAUCHAMP N°2;01611X0133;85;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
SIAEP DE LA VALLEE DE LA BIESME;83;255500928;BEAUCHAMP N°1;01611X0135;85;;55000;89;07/05/1985;0;;Futeau, Les Islettes, Neufour;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;1154
SIAEP DE LA VALLEE DE LA BIESME;84;255500928;SIAEP VALLEE DE LA BIESME;;0;;55000;87;;1146;55001119;;85109;0;0;37;0;0;0;0;0;0;45;150;64655;76;1.5;4.8;0;0;99;100;des fluorures par dilution;14;2;0;;100;7.9;0;7.9;19.6;16.8;18.2;20.7;18.6;19.65;2.7;0.4;1.01;5.6;5.3;5.45;0;0;;;
SIAEP DE LA VALLEE DE LA BIESME;84;255500928;SIAEP VALLEE DE LA BIESME (51);;0;;55000;87;;0;;;85109;0;0;37;0;0;0;0;0;0;45;150;64655;76;1.5;4.8;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DE LA VALLEE DE L'AIRE;83;255502403;FONTAINE DE MORTMOULIN;01913X0008;85;;55000;89;09/12/2008;0;;Longchamps sur Aire, Pierrefitte sur Aire, Nicey sur Aire;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;588
SIAEP DE LA VALLEE DE L'AIRE;84;255502403;SIAEP DE LA VALLEE DE L'AIRE;;0;;55000;87;;515;55000738;;55593;0;0;7.374;0.874;0;0;0;0.38;0;0;0;0;0;20.65;0;0;0.38;99;100;par coagulation-filtration;10;0;0;;100;7.5;0;7.35;29.3;27.4;28.35;32.6;31.9;32.25;0.5;0;0.27;29.3;14.5;20.5;0;0;;;
SIAEP DE LA VALLEE DE L'ORGE;83;245501135;FORAGE DE RIBEAUCOURT;02654X0006;86;RIBEAUCOURT;55430;88;;0;;Ribeaucourt;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DE LA VALLEE DE L'ORGE;83;245501135;FORAGE DE BIENCOURT;02654X0015;86;BIENCOURT-SUR-ORGE;55051;88;;0;;Biencourt sur Orge;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DE LA VALLEE DE L'ORGE;84;245501135;BIENCOURT SUR ORGE;;0;;55000;87;;134;55001125;;;;;;;;;;;;;;;;;;;;99;100;;6;0;0;;100;7.6;0;7.47;29.1;28.3;28.7;31.5;30.2;30.85;0.1;0;0.07;17.9;16.3;17.1;0.053;0;;;
SIAEP DE LA VALLEE DE L'ORGE;84;245501135;RIBEAUCOURT;;0;;55000;87;;108;55001124;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.4;0;7.4;29.3;28.7;29;32.5;32;32.25;0.2;0.1;0.13;16.7;14.5;15.6;0.005;0;;;
SIAEP DE PIENNES (54);84;255402356;SIAEP DE PIENNES (54);;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DE PIENNES (55);83;255402356;LA BRASSERIE N°2;X;86;;55000;89;07/04/1995;0;;Amel l'étang, Bouligny, Dommary-Baroncourt, Domrémy la canne, Eton, Gouraincourt, Lanhères, Rouvres en W., Senon;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;5075
SIAEP DE PIENNES (55);84;255402356;SIAEP DE PIENNES (55);;0;;55000;87;;5167;55000105;;;;;;;;;;;;;;;;;;;;99;0;;34;0;0;;100;8;0;7.515;25.9;24.6;25.4;34.1;29.6;31.217;1.6;0;0.27;23.9;19.7;22.4;0.004;0;;;
SIAEP DES DEUX RIGNY;83;255500787;PUITS DE RIGNY;02288X0018;86;RIGNY-LA-SALLE;55433;88;;0;;Rigny la Salle, Rigny St Martin;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DES DEUX RIGNY;84;255500787;SIAEP DES DEUX RIGNY;;0;;55000;87;;445;55001094;;;;;;;;;;;;;;;;;;;;99;0;;11;0;0;;87.5;7.7;0;7.63;22;21.8;21.9;26.8;25.3;26.05;0.1;0;0.03;28.5;20;25.45;0.017;0;;;
SIAEP DES DEUX VOUTHON;83;255500076;SOURCE DU SYNDICAT;02667X0002;85;;55000;87;;0;;VOUTHON-BAS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;97;0;1;
SIAEP DES DEUX VOUTHON;84;255500076;SIAEP DES DEUX VOUTHON;;0;;55000;87;;134;55001139;;;;;;;;;;;;;;;;;;;;99;0;;5;0;0;;100;7.9;0;7.73;25.5;23.2;24.35;25.8;24.1;24.95;0.2;0;0.07;1.4;0.9;1.155;0;0;1;;
SIAEP DIEPPE-DAMLOUP;83;255501009;BOIS FUMIN;01365X0015;85;;55000;89;19/02/2013;0;;Dieppe sous Douaumont, Damloup, Vaux devant Damloup;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;404
SIAEP DIEPPE-DAMLOUP;84;255501009;DAMLOUP;;0;;55000;87;;150;55003085;;33847;0;0;5.53;1.08;0;0;0;0.395;0;1200;0;17624;56;7.44;9.33;1.41;1.8;99;100;;5;0;0;;100;7.7;0;7.63;17.1;15.8;16.45;19.4;18.8;19.1;0.1;0;0.03;1.3;0.7;1;0;0;;;
SIAEP DIEPPE-DAMLOUP;84;255501009;DIEPPE SOUS DOUAUMONT;;0;;55000;87;;180;55000896;;33847;0;0;5.53;1.08;0;0;0;0.395;0;1200;0;17624;56;7.44;9.33;1.41;1.8;99;100;;6;0;0;;83.33333333;7.8;0;7.63;17.9;17.1;17.5;19.4;18;18.7;0.1;0;0.03;1.3;0.8;1.05;0.011;0;;;
SIAEP DIEUE-GENICOURT;83;255501637;LA COUPELLE;01621X0140;86;DIEUE-SUR-MEUSE;55154;88;;0;;Dieue sur Meuse, Génicourt sur Meuse;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
SIAEP DIEUE-GENICOURT;84;255501637;SIAEP DIEUE-GENICOURT;;0;;55000;87;;1673;55001038;;;;;;;;;;;;;;;;;;;;99;100;;18;1;0;;86.66666667;7.7;0;7.5;22.9;21.9;22.467;26.9;25.9;26.267;0.3;0;0.04;22.3;12.3;17.267;0.045;0;;;
SIAEP DU BREUIL;83;255502049;FORAGE SDT DU BREUIL;01354X0153;86;;55000;89;23/05/1997;0;;Champneuville, Regneville sur Meuse, Samogneux;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;281
SIAEP DU BREUIL;84;255502049;SYNDICAT DES EAUX DU BREUIL;;0;;55000;87;;239;55000112;;;;;;;;;;;;;;;;;;;;99;0;;6;0;0;;100;7.7;0;7.45;22.7;22.5;22.6;26.3;25.6;25.95;0;0;0;19.5;14.2;16.85;0;0;;;
SIAEP DU SOIRON (54);84;255401002;SIAEP SOIRON (54) SERVICE SUD;;0;;55000;87;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
SIAEP DU SOIRON (55);83;255401002;GRANDFONTAINE;X;85;;55000;89;27/03/1980;0;;Lachaussée, Labeuville, Latour en Woëvre, Villers sous Pareid;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;593
SIAEP DU SOIRON (55);83;255401002;SOIRON;X;85;;55000;89;27/03/1980;0;;Lachaussée, Labeuville, Latour en Woëvre, Villers sous Pareid;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;0
