0UGE;1INS - Type - Code;2INSEE ID commune;3INS - Nom;4BSS;5source/forage;6Commune d'implantation de l'ouvrage;7INSEE Captage;8EtatArrêtéDUP;9PRO - D.U.P. - Date;10UDI - Population - Permanente;11UDI_CODE_NAT;12communes alimentées (environ UDI_NOM);13volume produit;14volume importé;15volume exporté;16linéaire de réseau hors branchement;17linéaire de réseaux renouvelés au cours des 5 dernières années;18taux de TVA applicable à l'ensemble de la facture;19Voies navigables de France (prélèvement);20Agence de l'Eau (protection de la ressource);21Agence de l'Eau ( redevance pollution);22Autres taxes et redevances applicables sur le tarif (hors TVA);23volume de service;24volume consommé sans comptage;25Volumes consommés comptabilisés;26Rendement;27ILP;28ILC;29 Prix de l'eau (? HT et HR/m3) base 120 m3 ; 30Prix de l'eau (? TTC/m3) base 120 m3 ;31Mode d'exploitation;32chloration;33autres traitements;34Nb total de PLV sur l'UDL représentatifs et complets;35Evènements (restrictions);36Evènements (dérogations);37Evènements (autres); 38de C Bactériologie;39Max pH;40Min pH;41Moy pH;42Max Titre alcalimétrique complet;43Min Titre alcalimétrique complet;44Moy Titre alcalimétrique complet;45Max Titre hydrométrique;46Min Titre hydrométrique;47Moy Titre hydrométrique;48Max Turbidité;49Min Turbidité;50Moy Turbidité;51Max Nitrates;52Min Nitrates;53Moy Nitrates;54Moy Pesticides totaux;55Etat;56Décompte DUP;57décompte cap;58Population DUP
OLIZY SUR CHIERS;83;55391;NERRE N°1;00886X0019;85;;55000;89;20/10/2014;0;;OLIZY SUR CHIERS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
OLIZY SUR CHIERS;83;55391;NERRE N°2;00886X0020;85;OLIZY-SUR-CHIERS;55391;89;20/10/2014;0;;OLIZY SUR CHIERS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
OLIZY SUR CHIERS;83;55391;NERRE N°3;00886X0021;85;OLIZY-SUR-CHIERS;55391;89;20/10/2014;0;;OLIZY SUR CHIERS;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;1;1;0
OLIZY SUR CHIERS;84;55391;OLIZY SUR CHIERS;;0;;55000;87;;191;55000783;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;8;0;7.73;19.3;18.9;19.1;21.1;20.8;20.95;0.2;0;0.07;3.7;3.6;3.667;0;0;;;
OTHE (54);83;54412;SOURCE DES SEIGNEURS;01121X0027;85;OTHE;55395;89;26/05/1999;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;94;1;1;0
OURCHES SUR MEUSE;84;55396;OURCHES SUR MEUSE;;0;;55000;87;;195;55000789;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.6;0;7.57;21;20.7;20.85;27.9;25.4;26.65;0;0;0;18.6;11.8;14.667;0.012;0;1;;
PAGNY LA BLANCHE COTE;83;55397;AUX ESSARTS;02664X0002;86;PAGNY-LA-BLANCHE-COTE;55397;88;;0;;PAGNY LA BLANCHE COTE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
PAGNY LA BLANCHE COTE;84;55397;PAGNY LA BLANCHE COTE;;0;;55000;87;;248;55000790;;;;;;;;;;;;;;;;;;;;99;100;;5;0;0;;100;7.5;0;7.43;29.4;28.9;29.15;36.2;35.5;35.85;0.6;0.4;0.47;3.6;1.5;2.7;0;0;;;
PAGNY SUR MEUSE;83;55398;LES MARAIS;02284X0003;86;PAGNY-SUR-MEUSE;55398;88;;0;;PAGNY SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;0
PAGNY SUR MEUSE;83;55398;SOUS CHAPUT;02288X0058;85;SAINT-GERMAIN-SUR-MEUSE;55456;87;;0;;PAGNY SUR MEUSE;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;90;0;1;
