CodeINSEE;PopulationDGF2014;PopulationDGF2015;In‚ligibilit‚2016;PopulationDGF2016;CommunesUrbaines;PF2015;PF2016;Eligibilit‚(PF<1005?);In‚ligibilit‚2017;;;;;;;;;
55114;191;199;;214;;429;448;VRAI;;;;;;;;;;
55115;67;65;;60;;525;583;VRAI;;;;;;;;;;
55116;64;65;;66;;502;518;VRAI;;;;;;;;;;
55117;1626;1609;;1581;;755;771;VRAI;;;;;;;;;;
55118;90;94;;96;;598;607;VRAI;;;;;;;;;;
55119;210;212;x;200;;1104;1186;FAUX;x;;;;;;;;;
55120;895;891;;883;;601;628;VRAI;;;;;;;;;;
55121;125;125;;125;;370;347;VRAI;;;;;;;;;;
55122;6616;6554;x;6504;OUI;713;803;VRAI;x;;;;;;;;;
55124;330;334;;335;;443;454;VRAI;;;;;;;;;;
55125;776;775;x;799;;1016;1016;FAUX;x;;;;;;;;;
55127;34;37;;37;;549;558;VRAI;;;;;;;;;;
55128;46;44;x;41;;5205;5549;FAUX;x;;;;;;;;;
55129;37;36;;35;;654;704;VRAI;;;;;;;;;;
55132;1765;1755;;1759;;474;476;VRAI;;;;;;;;;;
55518;152;151;;150;;726;742;VRAI;;;;;;;;;;
55133;94;94;;93;;177;158;VRAI;;;;;;;;;;
55134;161;164;;166;;536;562;VRAI;;;;;;;;;;
55137;52;54;;55;;550;559;VRAI;;;;;;;;;;
55138;161;164;;167;;590;581;VRAI;;;;;;;;;;
55139;1;1;x;1;;7063;8930;FAUX;x;;;;;;;;;
55140;18;18;x;19;;1023;958;VRAI;;;;;;;;;;
55141;89;89;;89;;448;442;VRAI;;;;;;;;;;
55142;207;209;;198;;425;439;VRAI;;;;;;;;;;
55143;153;149;;145;;389;411;VRAI;;;;;;;;;;
55144;498;491;;478;;182;174;VRAI;;;;;;;;;;
55145;799;806;;765;;775;837;VRAI;;;;;;;;;;
55146;249;250;;249;;544;550;VRAI;;;;;;;;;;
55148;141;141;x;140;;1289;1368;FAUX;x;;;;;;;;;
55149;124;130;;137;;436;428;VRAI;;;;;;;;;;
55150;599;583;;559;;470;503;VRAI;;;;;;;;;;
55153;187;187;;188;;484;513;VRAI;;;;;;;;;;
55154;1429;1438;;1446;;951;959;VRAI;;;;;;;;;;
55155;440;445;;445;;472;483;VRAI;;;;;;;;;;
55156;148;144;;146;;446;453;VRAI;;;;;;;;;;
55157;71;66;;63;;364;372;VRAI;;;;;;;;;;
55158;833;815;;809;;479;482;VRAI;;;;;;;;;;
55159;342;338;;333;;515;520;VRAI;;;;;;;;;;
55160;51;49;;49;;610;545;VRAI;;;;;;;;;;
55162;35;34;x;34;;1160;1153;FAUX;x;;;;;;;;;
55163;82;85;;85;;471;459;VRAI;;;;;;;;;;
55164;8;8;x;8;;2640;3075;FAUX;x;;;;;;;;;
55165;490;483;;480;;563;585;VRAI;;;;;;;;;;
55166;1358;1344;;1336;;789;798;VRAI;;;;;;;;;;
55167;785;785;;780;;622;636;VRAI;;;;;;;;;;
