CodeINSEE;PopulationDGF2013;PopulationDGF2014;In‚ligibilit‚2015;PopulationDGF2015;CommunesUrbaines;PF2014;PF2015;Eligibilit‚(PF<993?);In‚ligibilit‚2016;EPCI-FP;Eau Potable;"Assainissement Collectif";"Assainissement Non Collectif";Milieux Aquatiques;"S (km2)";"Zone Rouge";Décompte
55071;213;218;;211;;372;395;VRAI;;Damvillers;;;SM Mangiennes;CC Région de Damvillers;12.1;;1
55072;96;98;;107;;719;646;VRAI;;Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Etain;5.0;;1
55073;740;744;;767;;698;682;VRAI;;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;13.7;;1
55075;181;178;;172;;165;163;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;;CC Haute-Saulx;9.3;;1
55076;195;202;;203;;492;492;VRAI;;Damvillers;;SM Mangiennes;SM Mangiennes;CC Région de Damvillers;18.3;;1
55077;290;286;;278;;345;362;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;CC Pays de Montmedy;13.0;;1
55078;360;359;;362;;603;592;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;24.1;;1
55079;622;619;;629;;474;467;VRAI;;Saulx et Perthois;SIE Brillon-Haironville-Saudrupt;;;CC Saulx et Perthois;11.4;;1
55080;110;108;;110;;527;502;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;7.6;;1
55081;63;64;;64;;616;649;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;8.3;;1
55082;53;54;;53;;560;573;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;10.0;;1
55083;172;175;;175;;502;506;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;12.2;;1
55084;69;63;X;60;;1284;1348;FAUX;x;Void;;;SIVOM Source Godion;CC Void;11.0;;1
55085;270;277;;277;;406;408;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;21.0;;1
55087;97;94;X;92;;57756;62779;FAUX;x;Haute-Saulx;SIE d''Echenay (52);;;CC Haute-Saulx;18.4;;1
55088;154;155;;157;;467;447;VRAI;;Val des Couleurs;SIE Sainte-Libaire;;;CC Val des Couleurs;6.5;;1
55089;103;103;;104;;389;403;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;4.3;;1
55093;327;330;;330;;562;551;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;26.7;;1
55094;581;581;;582;;559;553;VRAI;;Etain;SIE LAFFON DE LADEBAT;SIA de l''Orne;CC Pays d''Etain;CC Etain;12.4;;1
55095;141;137;;135;;485;485;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;5.3;;1
55096;115;116;;115;;584;601;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;11.5;;1
55097;344;344;;340;;434;454;VRAI;;Val des Couleurs;;SIVU des 7 Ponts;;CC Val des Couleurs;8.1;;1
55099;129;129;;133;;596;572;VRAI;;CA Verdun;SIE du BREUIL;CA Verdun;CA Verdun;CA Verdun;12.0;;1
55100;113;116;;118;;458;437;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;5.9;;1
55101;307;312;;318;;699;680;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;12.8;;1
55102;580;582;;586;;746;734;VRAI;;CA Verdun;SIE La Forestière;CA Verdun;CA Verdun;CA Verdun;12.6;;1
55103;31;29;;26;;750;844;VRAI;;Montfaucon-Varennes;SIE Côte Badard;;CC Montfaucon-Varennes;SM3A;4.4;;1
55104;124;119;;117;;541;555;VRAI;;Val d''Ornois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois;14.1;;1
55105;184;186;;190;;457;457;VRAI;;Etain;SIE Chatillon-Blanzée;;CC Pays d''Etain;CC Etain;10.7;;1
55106;177;176;;178;;521;511;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;10.4;;1
55107;53;56;;58;;473;468;VRAI;;Damvillers;SM Mangiennes;;SM Mangiennes;CC Région de Damvillers;5.4;;1
55108;174;170;;164;;470;487;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;9.9;;1
55109;287;287;;285;;368;373;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;8.8;;1
55110;274;271;;266;;561;573;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;10.8;;1
55111;507;500;X;490;;1036;958;VRAI;;Saint-Mihiel;SIE Chauvoncourt - Les Paroches;;CC Sammiellois;CC Sammiellois;10.0;;1
55113;140;140;;139;;526;518;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;SM3A;14.8;;1
55114;190;191;;199;;433;429;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;18.8;;1
55115;66;67;;65;;517;525;VRAI;;Montfaucon-Varennes;SIE Pays de Mautfaucon;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;9.2;;1
55116;65;64;;65;;487;502;VRAI;;Centre Argonne;;;SM Germain Guérard;CC Centre-Argonne;7.3;;1
55117;1629;1626;;1609;;733;755;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;66.9;;1
55118;86;90;;94;;613;598;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;7.2;;1
55119;205;210;X;212;;1076;1104;FAUX;x;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;4.6;;1
55120;897;895;;891;;605;601;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;10.3;;1
55121;122;125;;125;;373;370;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.1;;1
55122;6656;6616;X;6554;OUI;722;713;VRAI;x;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;35.4;;1
55123;781;782;;789;;465;460;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;50.2;;1
55124;321;330;;334;;455;443;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;15.9;;1
55125;769;776;X;775;;1009;1016;FAUX;x;Copary;COPARY;COPARY;COPARY;COPARY;11.8;;1
55127;35;34;;37;;572;549;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Aire et Meuse;7.3;;1
55128;47;46;X;44;;5020;5205;FAUX;x;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;11.9;;1
55129;36;37;;36;;648;654;VRAI;;CC Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;8.7;;1
55132;1766;1765;;1755;;475;474;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;18.1;;1
55133;94;94;;94;;185;177;VRAI;;Haute-Saulx;SIE Hévilliers;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;8.9;;1
55134;157;161;;164;;547;536;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;4.6;;1
55137;50;52;;54;;570;550;VRAI;;Montfaucon-Varennes;SIE Pays de Mautfaucon;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;5.6;;1
55138;;161;;164;;418;590;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;;;1
55139;1;1;X;1;;7152;7063;FAUX;x;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;6.1;ZR;1
55140;18;18;X;18;;1057;1023;FAUX;x;Val Dunois;SIE Pays de Mautfaucon;CC Val Dunois;CC Val Dunois;CC Val Dunois;4.7;;1
55141;90;89;;89;;440;448;VRAI;;Void;;;SIVOM Source Godion;CC Void;13.0;;1
55142;208;207;;209;;435;425;VRAI;;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;40.3;;1
55143;155;153;;149;;374;389;VRAI;;Etain;SIE Dieppe-Damloup;;CC Pays d''Etain;CC Etain;5.3;;1
55144;451;498;;491;;164;182;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;11.3;;1
55145;781;799;;806;;770;775;VRAI;;Damvillers;;;SM Mangiennes;CC Région de Damvillers;18.3;;1
55146;252;249;;250;;547;544;VRAI;;Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Val Dunois;14.4;;1
55148;140;141;X;141;;1186;1289;FAUX;x;Val d''Ornois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois;15.1;;1
55149;116;124;;130;;451;436;VRAI;;Damvillers;SM Mangiennes;;SM Mangiennes;CC Région de Damvillers;9.2;;1
55150;591;599;;583;;465;470;VRAI;;Val d''Ornois;SM Baudignecourt-Demange;SM Baudignecourt-Demange;CC Val d''Ornois;CC Val d''Ornois;24.9;;1
55153;184;187;;187;;479;484;VRAI;;Etain;SIE Dieppe-Damloup;;CC Pays d''Etain;CC Etain;15.1;;1
55154;1446;1429;;1438;;954;951;VRAI;;Val de Meuse et Vallée de la Dieue;SIE Dieue-Génicourt;SIA de la Dieue;SIA de la Dieue;CC Val de Meuse et Vallée de la Dieue;15.8;;1
55155;437;440;;445;;485;472;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;11.7;;1
55156;154;148;;144;;447;446;VRAI;;Damvillers;SM Mangiennes;;SM Mangiennes;CC Région de Damvillers;11.3;;1
55157;71;71;;66;;335;364;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.8;;1
55158;845;833;;815;;473;479;VRAI;;Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;12.5;;1
55159;349;342;;338;;512;515;VRAI;;Saint-Mihiel;;;CC Sammiellois;CC Sammiellois;10.9;;1
55160;52;51;;49;;561;610;VRAI;;Saint-Mihiel;SIE LAFFON DE LADEBAT;;CC Sammiellois;CC Sammiellois;8.1;;1
55162;34;35;X;34;;995;1160;FAUX;x;Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;3.1;;1
55163;79;82;;85;;481;471;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.2;;1
55164;8;8;X;8;;2651;2640;FAUX;x;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;6.1;;1
55165;486;490;;483;;550;563;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;8.6;;1
55166;1372;1358;;1344;;776;789;VRAI;;Val de Meuse et Vallée de la Dieue;;CA Verdun;CA Verdun;CC Val de Meuse et Vallée de la Dieue;19.3;;1
55167;801;785;;785;;624;622;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;6.4;;1
55168;49;48;;50;;522;504;VRAI;;Spincourt;SM Mangiennes;;SM Mangiennes;;5.8;;1
55169;534;520;;506;;385;394;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;4.3;;1
55170;169;169;;164;;390;393;VRAI;;Damvillers;;SM Mangiennes;SM Mangiennes;CC Région de Damvillers;6.9;;1
55171;261;265;;271;;434;423;VRAI;;Etain;;;CC Pays d''Etain;CC Etain;12.1;;1
55172;78;74;;76;;323;290;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.5;;1
55173;39;40;;39;;590;597;VRAI;;Val des Couleurs;SIE Sainte-Libaire;;;CC Val des Couleurs;8.2;;1
55174;91;82;;77;;674;712;VRAI;;Montfaucon-Varennes;SIE Pays de Mautfaucon;;CC Montfaucon-Varennes;SM3A;14.1;;1
55175;183;179;X;173;;1058;1092;FAUX;x;CC Aire et Meuse;SM Germain Guérard;CC Aire et Meuse;CC Aire et Meuse;SM3A;10.8;;1
55177;69;72;X;70;;1470;1515;FAUX;x;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;7.2;;1
55178;205;204;X;205;;1130;1125;FAUX;x;CC Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;12.5;;1
55179;187;179;;178;;505;490;VRAI;;Void;SIVOM Source Godion;;SIVOM Source Godion;CC Void;28.1;;1
55180;139;141;;146;;397;378;VRAI;;Montfaucon-Varennes;;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;14.8;;1
55181;3879;3925;;3857;;587;598;VRAI;;Etain;;;CC Pays d''Etain;CC Etain;19.6;;1
55182;219;214;;212;;433;441;VRAI;;Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;11.1;;1
55183;47;45;;45;;532;564;VRAI;;Damvillers;;SM Mangiennes;SM Mangiennes;CC Région de Damvillers;8.0;;1
55184;1761;1774;;1784;;421;413;VRAI;;Commercy;;;CC Pays de Commercy;CC Pays de Commercy;29.8;;1
55185;89;91;;99;;626;589;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;11.7;;1
55186;2373;2356;X;2341;OUI;789;783;VRAI;x;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;18.3;;1
55188;53;51;;50;;526;538;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;6.7;;1
55189;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;10.3;ZR;1
55191;207;207;;218;;572;529;VRAI;;Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Etain;11.1;;1
55192;71;68;;67;;541;563;VRAI;;Val Dunois;;CC Val Dunois;CC Val Dunois;CC Val Dunois;6.2;;1
55193;125;130;;128;;439;480;VRAI;;Montfaucon-Varennes;SIE VAL DUNOIS;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;16.0;;1
55194;60;61;;59;;636;648;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;;9.9;;1
55195;151;156;;160;;143;128;VRAI;;Haute-Saulx;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;5.6;;1
55196;119;130;;138;;417;396;VRAI;;Côtes de Meuse Woëvre;;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;6.4;;1
55197;165;169;;169;;444;438;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Aire et Meuse;15.9;;1
55198;757;745;;740;;507;515;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.1;;1
55199;110;113;;109;;483;495;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;8.7;;1
55200;245;240;;234;;661;666;VRAI;;CA Verdun;SIE Sivry-la-Perche;CA Verdun;CA Verdun;CA Verdun;20.3;;1
55201;54;54;;55;;599;588;VRAI;;Etain;;;CC Pays d''Etain;CC Etain;6.0;;1
55202;208;211;;215;;380;373;VRAI;;Centre Argonne;SIE Vallée de la Biesme;;SM Germain Guérard;CC Centre-Argonne;1.7;;1
55204;289;285;;279;;546;571;VRAI;;Val de Meuse et Vallée de la Dieue;SIE Dieue-Génicourt;SIA de la Dieue;SIA de la Dieue;CC Val de Meuse et Vallée de la Dieue;8.0;;1
55206;157;158;;163;;413;397;VRAI;;Montfaucon-Varennes;SIE VAL DUNOIS;;CC Montfaucon-Varennes;CC Montfaucon-Varennes;13.6;;1
55207;62;66;X;66;;1595;2044;FAUX;x;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Aire et Meuse;4.8;;1
55208;52;53;;57;;669;622;VRAI;;Montfaucon-Varennes;SIE Pays de Mautfaucon;;CC Montfaucon-Varennes;SM3A;7.1;;1
55210;38;38;;38;;714;710;VRAI;;CC Aire et Meuse;SIE Villote/Gimécourt;CC Aire et Meuse;CC Aire et Meuse;SM3A;10.1;;1
55211;64;64;;64;;586;612;VRAI;;Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Etain;9.7;;1
55212;83;77;;75;;403;447;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;5.1;;1
55214;343;354;;352;;562;560;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;9.7;;1
55215;1254;1234;;1229;;574;555;VRAI;;Val d''Ornois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois;51.3;;1
55216;50;50;;52;;635;596;VRAI;;Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);SIE Piennes;5.5;;1
55217;130;132;;130;;390;378;VRAI;;Val des Couleurs;;;;CC Val des Couleurs;10.3;;1
55218;26;25;X;30;;1183;990;VRAI;;Damvillers;;;SM Mangiennes;CC Région de Damvillers;17.8;;1
55219;109;110;;107;;408;421;VRAI;;Etain;SIE Herméville;;CC Pays d''Etain;CC Etain;5.7;;1
55220;108;108;;108;;334;350;VRAI;;Commercy;SIVOM Source Godion;;SIVOM Source Godion;CC Pays de Commercy;9.3;;1
55221;268;265;;267;;554;544;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;6.1;;1
55222;35;37;X;41;;1075;960;VRAI;;Etain;SIE LAFFON DE LADEBAT;;CC Pays d''Etain;CC Etain;10.5;;1
55224;631;645;;648;;820;868;VRAI;;Saulx et Perthois;SIE Brillon-Haironville-Saudrupt;;;CC Saulx et Perthois;9.8;;1
55225;166;168;;171;;446;459;VRAI;;Pays de Stenay;SIE Beauclair;;CC Pays de Stenay;CC Pays de Stenay;5.5;;1
55226;115;121;;128;;382;352;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;5.4;;1
55228;666;666;;665;;357;363;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;15.7;;1
55229;290;291;X;293;;1491;1476;FAUX;x;Saint-Mihiel;SIE Han/Brasseitte;;CC Sammiellois;CC Sammiellois;17.2;;1
55232;118;117;;115;;519;514;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;5.5;;1
55236;996;990;;974;;536;545;VRAI;;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;11.1;;1
55237;244;248;;246;;813;855;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.3;;1
55239;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;10.8;ZR;1
55241;89;89;;90;;517;481;VRAI;;Meuse - Voie Sacrée;SM Germain Guérard;;SM Germain Guérard;SM3A;10.5;;1
55242;138;130;;126;;901;927;VRAI;;Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;10.8;;1
55243;202;198;;199;;344;352;VRAI;;Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.7;;1
55244;253;255;;250;;425;426;VRAI;;Etain;SIE Herméville;;CC Pays d''Etain;CC Etain;14.6;;1
55245;246;237;;234;;887;894;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;SM Madine;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;13.6;;1
55246;134;134;;135;;157;152;VRAI;;Haute-Saulx;SIE Hévilliers;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Haute-Saulx;10.6;;1
55247;72;72;;77;;450;409;VRAI;;Val d''Ornois;SIE Horville-Tourailles ;;CC Val d''Ornois;CC Val d''Ornois;7.6;;1
55248;389;373;X;354;;1020;1082;FAUX;x;Val d''Ornois;;;CC Val d''Ornois;CC Val d''Ornois;16.1;;1
55250;246;235;;229;;456;472;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;6.5;;1
55251;104;101;;103;;575;557;VRAI;;Triaucourt-Vaubécourt;SM Germain Guérard;;SM Germain Guérard;SM3A;10.6;;1
55252;174;170;;161;;359;377;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;8.3;;1
55253;906;905;;875;;368;381;VRAI;;Centre Argonne;SIE Vallée de la Biesme;;SM Germain Guérard;CC Centre-Argonne;5.6;;1
55254;136;140;X;144;;1237;1174;FAUX;x;Triaucourt-Vaubécourt;SM Germain Guérard;;SM Germain Guérard;SM3A;16.5;;1
55255;275;276;;265;;412;429;VRAI;;Pays de Montmedy;SM Mangiennes;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;17.4;;1
55256;150;152;;153;;454;459;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;10.8;;1
55257;57;57;;58;;453;442;VRAI;;Centre Argonne;;;SM Germain Guérard;SM3A;6.3;;1
55258;649;665;;672;;380;381;VRAI;;Côtes de Meuse Woëvre;SIE LAFFON DE LADEBAT;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;33.1;;1
55260;85;80;;78;;411;420;VRAI;;Meuse - Voie Sacrée;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;8.7;;1
55261;145;142;;140;;474;482;VRAI;;Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Saulx et Perthois;6.4;;1
55262;281;281;;284;;383;377;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;Syndicat Intercommunal d''Aménagement de la Chiers;16.4;;1
55263;187;188;;194;;482;472;VRAI;;Saint-Mihiel;;SIA des Koeur;CC Sammiellois;CC Sammiellois;12.3;;1
55264;315;322;;324;;382;383;VRAI;;Saint-Mihiel;SIE Han/Brasseitte;SIA des Koeur;CC Sammiellois;CC Sammiellois;20.3;;1
55265;145;141;;137;;438;432;VRAI;;Fresnes en Woevre;SIE du SOIRON (54);;CC Fresnes en Woevre;CC Fresnes en Woevre;9.6;;1
55266;81;83;;87;;459;460;VRAI;;Centre Argonne;;;SM Germain Guérard;CC Centre-Argonne;19.5;;1
55267;287;287;;286;;564;569;VRAI;;Côtes de Meuse Woëvre;SIE du SOIRON (54);SIE du SOIRON (54);SIE du SOIRON (54);CC Côtes de Meuse Woëvre;27.2;;1
55268;745;744;;739;;441;443;VRAI;;Saint-Mihiel;;;CC Sammiellois;CC Sammiellois;21.2;;1
55269;98;96;;99;;580;561;VRAI;;CC Aire et Meuse;;CC Aire et Meuse;CC Aire et Meuse;CC Aire et Meuse;12.7;;1
55270;32;30;;28;;631;651;VRAI;;Côtes de Meuse Woëvre;SIE Trey-Saint-Jean (54);;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;4.0;;1
55271;410;418;;417;;587;582;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;18.0;;1
55272;477;474;;473;;695;695;VRAI;;Copary;COPARY;COPARY;COPARY;COPARY;10.8;;1
55274;317;313;;315;;444;442;VRAI;;Côtes de Meuse Woëvre;SIE Maizey;;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;34.9;;1
55275;115;117;;119;;384;376;VRAI;;Pays de Stenay;;;CC Pays de Stenay;CC Pays de Stenay;4.8;;1
55276;195;196;;190;;656;676;VRAI;;Meuse - Voie Sacrée;;;SM Germain Guérard;CC Meuse - Voie Sacrée;14.6;;1
55278;203;202;;207;;768;763;VRAI;;Void;;;SIVOM Source Godion;CC Void;13.2;;1
55279;451;470;;456;;452;463;VRAI;;Pays de Stenay;SIE Laneuville/Luzy;;CC Pays de Stenay;CC Pays de Stenay;22.8;;1
55280;67;71;;73;;460;444;VRAI;;Etain;SIE PIENNES (54);;CC Pays d''Etain;CC Etain;4.6;;1
