Code INSEE;Population DGF 2014;Population DGF 2015;Inéligibilité 2016;Population DGF 2016;Communes Urbaines;PF 2015;PF 2016;Eligibilité (PF<1005?);Inéligibilité 2017;EPCI-FP;Eau Potable;AssainissementCollectif;AssainissementNon Collectif;Milieux Aquatiques;S(km2);ZoneRouge;Décompte
55128;46;44;x;41;;5 205;5549;FAUX;x;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;11.9;;1
55129;37;36;;35;;654;704;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;8.7;;1
55132;1 765;1 755;;1759;;474;476;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;18.1;;1
55518;152;151;;150;;726;742;VRAI;;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;18.3;;1
55133;94;94;;93;;177;158;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIE Hévilliers;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;8.9;;1
55134;161;164;;166;;536;562;VRAI;;COPARY;COPARY;COPARY;COPARY;COPARY;4.6;;1
55137;52;54;;55;;550;559;VRAI;;Argonne Meuse;SIE Pays de Mautfaucon;;CC Argonne Meuse;CC Argonne Meuse;5.6;;1
55138;161;164;;167;;590;581;VRAI;;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;;;1
55139;1;1;x;1;;7 063;8930;FAUX;x;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;6.1;ZR;1
55140;18;18;x;19;;1 023;958;VRAI;;CC Stenay - Val Dunois;SIE Pays de Mautfaucon;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;4.7;;1
55141;89;89;;89;;448;442;VRAI;;Commercy - Void - Vaucouleurs;;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;13;;1
55142;207;209;;198;;425;439;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;40.3;;1
55143;153;149;;145;;389;411;VRAI;;CC Pays d''Etain;SIE Dieppe-Damloup;;CC Pays d''Etain;CC Pays d''Etain;5.3;;1
55144;498;491;;478;;182;174;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SIVOM 4 CANTONS;SIVOM 4 CANTONS;SIVOM 4 CANTONS;CC Val d''Ornois Haute Saulx et Perthois;11.3;;1
55145;799;806;;765;;775;837;VRAI;;Damvillers-Spincourt;;;SM Mangiennes;CC Damvillers-Spincourt;18.3;;1
55146;249;250;;249;;544;550;VRAI;;CC Stenay - Val Dunois;SIE VAL DUNOIS;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;14.4;;1
55148;141;141;x;140;;1 289;1368;FAUX;x;CC Val d''Ornois Haute Saulx et Perthois;SIE Haut-Ornain;;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;15.1;;1
55149;124;130;;137;;436;428;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;9.2;;1
55150;599;583;;559;;470;503;VRAI;;CC Val d''Ornois Haute Saulx et Perthois;SM Baudignecourt-Demange;SM Baudignecourt-Demange;CC Val d''Ornois;CC Val d''Ornois Haute Saulx et Perthois;24.9;;1
55153;187;187;;188;;484;513;VRAI;;CC Pays d''Etain;SIE Dieppe-Damloup;;CC Pays d''Etain;CC Pays d''Etain;15.1;;1
55154;1 429;1 438;;1446;;951;959;VRAI;;Val de Meuse Voie Sacrée;SIE Dieue-Génicourt;SIA de la Dieue;SIA de la Dieue;Val de Meuse Voie Sacrée;15.8;;1
55155;440;445;;445;;472;483;VRAI;;Argonne Meuse;;;SM Germain Guérard;SM3A;11.7;;1
55156;148;144;;146;;446;453;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;11.3;;1
55157;71;66;;63;;364;372;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.8;;1
55158;833;815;;809;;479;482;VRAI;;Damvillers-Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);CC Damvillers-Spincourt;12.5;;1
55159;342;338;;333;;515;520;VRAI;;CC Sammiellois;;;CC Sammiellois;CC Sammiellois;10.9;;1
55160;51;49;;49;;610;545;VRAI;;CC Sammiellois;SIE LAFFON DE LADEBAT;;CC Sammiellois;CC Sammiellois;8.1;;1
55162;35;34;x;34;;1 160;1153;FAUX;x;Damvillers-Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);CC Damvillers-Spincourt;3.1;;1
55163;82;85;;85;;471;459;VRAI;;CC Fresnes en Woevre;SIE LAFFON DE LADEBAT;;CC Fresnes en Woevre;CC Fresnes en Woevre;6.2;;1
55164;8;8;x;8;;2 640;3075;FAUX;x;CA Verdun;;CA Verdun;CA Verdun;CA Verdun;6.1;;1
55165;490;483;;480;;563;585;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;8.6;;1
55166;1 358;1 344;;1336;;789;798;VRAI;;Val de Meuse Voie Sacrée;;CA Verdun;CA Verdun;Val de Meuse Voie Sacrée;19.3;;1
55167;785;785;;780;;622;636;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;6.4;;1
55168;48;50;;51;;504;510;VRAI;;Damvillers-Spincourt;SM Mangiennes;;SM Mangiennes;CC Damvillers-Spincourt;5.8;;1
55169;520;506;;511;;394;393;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;4.3;;1
55170;169;164;;151;;393;423;VRAI;;Damvillers-Spincourt;;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;6.9;;1
55171;265;271;;264;;423;455;VRAI;;CC Pays d''Etain;;;CC Pays d''Etain;CC Pays d''Etain;12.1;;1
55172;74;76;;75;;290;288;VRAI;;CC Fresnes en Woevre;;;CC Fresnes en Woevre;CC Fresnes en Woevre;9.5;;1
55173;40;39;;42;;597;585;VRAI;;Commercy - Void - Vaucouleurs;SIE Sainte-Libaire;;;Commercy - Void - Vaucouleurs;8.2;;1
55174;82;77;;78;;712;709;VRAI;;Argonne Meuse;SIE Pays de Mautfaucon;;CC Argonne Meuse;SM3A;14.1;;1
55175;179;173;x;172;;1 092;1099;FAUX;x;CC Triaucourt - Aire et Meuse;SM Germain Guérard;CC Aire et Meuse;CC Aire et Meuse;SM3A;10.8;;1
55177;72;70;x;66;;1 515;1667;FAUX;x;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;7.2;;1
55178;204;205;x;203;;1 125;1120;FAUX;x;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SM3A;12.5;;1
55179;179;178;;176;;490;507;VRAI;;Commercy - Void - Vaucouleurs;SIVOM Source Godion;;SIVOM Source Godion;Commercy - Void - Vaucouleurs;28.1;;1
55180;141;146;;145;;378;400;VRAI;;Argonne Meuse;;;CC Argonne Meuse;CC Argonne Meuse;14.8;;1
55181;3 925;3 857;;3784;;598;614;VRAI;;CC Pays d''Etain;;;CC Pays d''Etain;CC Pays d''Etain;19.6;;1
55182;214;212;;210;;441;456;VRAI;;Damvillers-Spincourt;SIE PIENNES (54);SIE PIENNES (54);SIE PIENNES (54);CC Damvillers-Spincourt;11.1;;1
55183;45;45;;43;;564;578;VRAI;;Damvillers-Spincourt;;SM Mangiennes;SM Mangiennes;CC Damvillers-Spincourt;8;;1
55184;1 774;1 784;;1761;;413;464;VRAI;;Commercy - Void - Vaucouleurs;;;CC Pays de Commercy;Commercy - Void - Vaucouleurs;29.8;;1
55185;91;99;;105;;589;576;VRAI;;CC Triaucourt - Aire et Meuse;SM Germain Guérard;SM Germain Guérard;SM Germain Guérard;SMAVAS;11.7;;1
55186;2 356;2 341;x;2279;OUI;783;824;VRAI;x;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;CA Bar-le-Duc;18.3;;1
55188;51;50;;52;;538;507;VRAI;;Pays de Montmedy;;CC Pays de Montmedy;CC Pays de Montmedy;SIAC;6.7;;1
55189;0;0;;0;;0;0;VRAI;;CA Verdun;Zone rouge;CA Verdun;CA Verdun;CA Verdun;10.3;ZR;1
55191;207;218;;224;;529;525;VRAI;;CC Pays d''Etain;SIE Gincrey-Maucourt;;CC Pays d''Etain;CC Pays d''Etain;11.1;;1
55192;68;67;;69;;563;556;VRAI;;CC Stenay - Val Dunois;;CC Val Dunois;CC Val Dunois;CC Stenay - Val Dunois;6.2;;1
55193;130;128;;129;;480;479;VRAI;;Argonne Meuse;SIE VAL DUNOIS;;CC Argonne Meuse;CC Argonne Meuse;16;;1
